time,event,Freq
2017-04-05 04:28:41,ldap,80
2017-04-05 04:29:03,ldap,61
2017-04-05 04:29:05,ldap,61
2017-04-05 04:29:12,access,4
2017-04-05 04:29:14,ldap,61
2017-04-05 04:29:16,ldap,305
2017-04-05 04:29:17,ldap,13
2017-04-05 04:29:38,ldap,61
2017-04-05 04:29:40,ldap,61
2017-04-05 04:29:43,ldap,61
2017-04-05 04:29:44,ldap,61
2017-04-05 04:29:47,ldap,61
2017-04-05 04:29:48,ldap,196
2017-04-05 04:30:11,ldap,61
2017-04-05 04:30:12,access,9
2017-04-05 04:30:12,ldap,122
2017-04-05 04:30:12,svn,1
2017-04-05 04:30:15,ldap,61
2017-04-05 04:30:17,ldap,61
2017-04-05 04:30:21,ldap,61
2017-04-05 04:30:24,ldap,61
2017-04-05 04:30:26,ldap,61
2017-04-05 04:30:30,ldap,13
2017-04-05 04:30:42,ldap,61
2017-04-05 04:30:47,ldap,61
2017-04-05 04:30:49,ldap,61
2017-04-05 04:30:50,ldap,122
2017-04-05 04:30:52,ldap,61
2017-04-05 04:30:55,ldap,61
2017-04-05 04:30:57,ldap,61
2017-04-05 04:30:58,ldap,13
2017-04-05 04:31:25,ldap,61
2017-04-05 04:31:29,ldap,61
2017-04-05 04:31:32,ldap,61
2017-04-05 04:31:35,ldap,61
2017-04-05 04:31:46,ldap,61
2017-04-05 04:31:48,ldap,61
2017-04-05 04:32:01,ldap,61
2017-04-05 04:32:13,ldap,61
2017-04-05 04:32:24,ldap,61
2017-04-05 04:32:38,ldap,61
2017-04-05 04:32:49,ldap,61
2017-04-05 04:33:01,ldap,61
2017-04-05 04:33:11,httpdacc,1
2017-04-05 04:33:12,ldap,61
2017-04-05 04:33:14,ldap,61
2017-04-05 04:33:17,ldap,61
2017-04-05 04:33:31,ldap,61
2017-04-05 04:33:46,ldap,330
2017-04-05 04:34:04,ldap,61
2017-04-05 04:34:20,ldap,61
2017-04-05 04:34:36,ldap,122
2017-04-05 04:34:46,ldap,183
2017-04-05 04:34:49,ldap,61
2017-04-05 04:34:58,ldap,61
2017-04-05 04:35:00,ldap,56
2017-04-05 04:35:01,ldap,5
2017-04-05 04:35:17,ldap,61
2017-04-05 04:35:29,ldap,61
2017-04-05 04:35:35,ldap,61
2017-04-05 04:35:38,ldap,61
2017-04-05 04:35:39,ldap,61
2017-04-05 04:35:41,ldap,61
2017-04-05 04:35:42,ldap,61
2017-04-05 04:35:43,ldap,122
2017-04-05 04:35:45,ldap,13
2017-04-05 04:36:03,ldap,61
2017-04-05 04:36:08,ldap,61
2017-04-05 04:36:09,ldap,61
2017-04-05 04:36:11,ldap,61
2017-04-05 04:36:12,httpdacc,1
2017-04-05 04:36:15,ldap,61
2017-04-05 04:36:21,ldap,50
2017-04-05 04:36:22,ldap,11
2017-04-05 04:36:31,ldap,61
2017-04-05 04:36:42,ldap,61
2017-04-05 04:36:48,ldap,61
2017-04-05 04:36:51,ldap,122
2017-04-05 04:37:06,ldap,61
2017-04-05 04:37:16,ldap,61
2017-04-05 04:37:26,ldap,61
2017-04-05 04:37:31,ldap,61
2017-04-05 04:37:33,ldap,61
2017-04-05 04:37:35,ldap,61
2017-04-05 04:37:39,ldap,61
2017-04-05 04:37:41,ldap,61
2017-04-05 04:37:43,ldap,61
2017-04-05 04:37:46,ldap,13
2017-04-05 04:37:49,ldap,61
2017-04-05 04:37:51,ldap,122
2017-04-05 04:37:54,ldap,61
2017-04-05 04:37:56,ldap,8
2017-04-05 04:37:57,ldap,53
2017-04-05 04:37:59,ldap,122
2017-04-05 04:38:01,ldap,61
2017-04-05 04:38:03,ldap,13
2017-04-05 04:38:08,Fire,1
2017-04-05 04:38:11,httpdacc,1
2017-04-05 04:38:14,access,1
2017-04-05 04:38:20,ldap,61
2017-04-05 04:38:22,ldap,61
2017-04-05 04:38:25,ldap,61
2017-04-05 04:38:27,ldap,61
2017-04-05 04:38:30,ldap,61
2017-04-05 04:38:33,ldap,61
2017-04-05 04:38:35,ldap,61
2017-04-05 04:38:37,ldap,61
2017-04-05 04:38:40,ldap,13
2017-04-05 04:38:52,ldap,61
2017-04-05 04:38:55,ldap,61
2017-04-05 04:38:57,ldap,61
2017-04-05 04:38:59,ldap,61
2017-04-05 04:39:02,ldap,61
2017-04-05 04:39:04,ldap,61
2017-04-05 04:39:07,ldap,61
2017-04-05 04:39:10,ldap,61
2017-04-05 04:39:12,ldap,13
2017-04-05 04:39:26,ldap,312
2017-04-05 04:39:27,ldap,189
2017-04-05 04:39:57,ldap,61
2017-04-05 04:39:58,ldap,61
2017-04-05 04:40:02,ldap,61
2017-04-05 04:40:08,ldap,61
2017-04-05 04:40:11,ldap,61
2017-04-05 04:40:12,ldap,61
2017-04-05 04:40:15,ldap,61
2017-04-05 04:40:18,ldap,61
2017-04-05 04:40:20,ldap,13
2017-04-05 04:40:34,ldap,61
2017-04-05 04:40:46,ldap,61
2017-04-05 04:40:53,ldap,61
2017-04-05 04:41:02,ldap,61
2017-04-05 04:41:05,ldap,61
2017-04-05 04:41:18,ldap,13
2017-04-05 04:41:19,ldap,48
2017-04-05 04:41:25,ldap,61
2017-04-05 04:41:28,ldap,61
2017-04-05 04:41:31,ldap,61
2017-04-05 04:41:33,ldap,61
2017-04-05 04:41:35,ldap,61
2017-04-05 04:41:38,ldap,61
2017-04-05 04:41:42,ldap,61
2017-04-05 04:41:49,ldap,61
2017-04-05 04:41:52,ldap,61
2017-04-05 04:41:54,ldap,61
2017-04-05 04:41:56,ldap,61
2017-04-05 04:41:59,ldap,61
2017-04-05 04:42:03,ldap,13
2017-04-05 04:42:14,ldap,61
2017-04-05 04:42:16,Fire,2
2017-04-05 04:42:16,ldap,61
2017-04-05 04:42:18,ldap,61
2017-04-05 04:42:20,ldap,61
2017-04-05 04:42:21,ldap,61
2017-04-05 04:42:22,access,2
2017-04-05 04:42:24,ldap,61
2017-04-05 04:42:25,ldap,61
2017-04-05 04:42:27,ldap,61
2017-04-05 04:42:39,ldap,13
2017-04-05 04:42:49,ldap,61
2017-04-05 04:42:52,ldap,61
2017-04-05 04:42:55,ldap,61
2017-04-05 04:42:57,ldap,61
2017-04-05 04:42:59,ldap,61
2017-04-05 04:43:02,ldap,61
2017-04-05 04:43:04,ldap,61
2017-04-05 04:43:07,ldap,61
2017-04-05 04:43:09,ldap,13
2017-04-05 04:43:11,httpdacc,1
2017-04-05 04:43:19,ldap,61
2017-04-05 04:43:22,ldap,61
2017-04-05 04:43:24,ldap,61
2017-04-05 04:43:26,ldap,61
2017-04-05 04:43:29,ldap,122
2017-04-05 04:43:32,ldap,61
2017-04-05 04:43:34,ldap,61
2017-04-05 04:43:36,ldap,13
2017-04-05 04:43:51,ldap,183
2017-04-05 04:43:54,ldap,61
2017-04-05 04:43:56,ldap,61
2017-04-05 04:43:58,ldap,61
2017-04-05 04:44:01,ldap,61
2017-04-05 04:44:04,ldap,61
2017-04-05 04:44:06,ldap,13
2017-04-05 04:44:21,ldap,61
